,Pris,address,zipcode,m2,rooms,x,y,daycare_distance,train_distance,school_distance,supermarket_distance,hospital_distance,Region
157,595000, Parkvej 10 4 th ,4700 Næstved,96,3,11.75390373,55.21781924,526.14,2530.52,742.9,339.3,3136.23,Hovedstaden
158,695000, Æbleparken 170,5270 Odense N,59,2,10.36899416,55.42685024,404.24,5047.22,1497.88,479.61,5985.07,Syddanmark
159,750000, Platanvej 36,8930 Randers NØ,81,2,10.04386857,56.48130565,172.74,4604.89,850.3,596.72,1869.29,Midtjylland
160,870000, Fasanvej 34,8800 Viborg,93,4,9.38589721,56.44855015,512.54,1126.52,961.74,927.46,1597.41,Midtjylland
161,895000, Søndermarken 26,3060 Espergærde,35,1,12.54251305,55.99407463,425.25,648.41,1006.23,377.4,7336.51,Hovedstaden
162,895000, Nørrevold 11B,6800 Varde,60,2,8.47893135,55.623884,694.24,378.76,1047.2,302.67,18581.76,Syddanmark
163,995000, Havnevej 24,4000 Roskilde,26,1,12.07686742,55.64687126,447.05,2233.84,896.23,878.14,2518.4,Hovedstaden
164,995000, Lathyrusvej 4,8930 Randers NØ,80,3,10.02952359,56.47803822,451.53,2986.48,1011.02,765.16,2242.78,Midtjylland
165,995000, Udsigten 15,6000 Kolding,70,2,9.46203809,55.49909797,384.55,2137.63,955.73,191.57,1891.87,Syddanmark
166,1145000, Jernbanegade 29,7000 Fredericia,88,3,9.74214993,55.56705243,896.79,312.48,1015.8,361.98,10525.96,Syddanmark
167,1150000, Snerlevej 11,9000 Aalborg,76,2,9.90627221,57.03343232,550.93,1987.82,969.64,327.86,804.5,Nordjylland
168,1248000, Marbækvej 10,6700 Esbjerg,68,2,8.43802893,55.47307158,541.42,1694.95,1040.54,292.02,1505.04,Syddanmark
169,1248000, Vesterhavsgade 67,6700 Esbjerg,75,2,8.43551615,55.47036974,716.9,1614.76,1031.22,356.2,1863.65,Syddanmark
170,1395000, Torvegade 16C 2 tv ,4640 Faxe,110,4,12.12027006,55.25771394,301.1,2222.78,1190.87,64.21,25035.53,Hovedstaden
171,1495000, Malurtvej 23,9000 Aalborg,74,3,9.89983159,57.02408978,337.07,2585.99,1184.52,451.4,2051.44,Nordjylland
172,1498000, Tøndebindervej 4,2400 København NV,37,1,12.5354919,55.70677645,136.46,3870.65,478.16,292.73,932.47,Hovedstaden
173,1499000, Møllegade 10,8700 Horsens,116,4,9.84895279,55.86601073,383.61,2141.36,308.04,503.87,2129.53,Midtjylland
174,1545000, Vesterbro 57 4 th ,9000 Aalborg,66,2,9.91420778,57.04700115,578.63,561.55,743.43,357.33,653.54,Nordjylland
175,1575000, Engblommevej 39,2400 København NV,35,1,12.52602638,55.72174726,439.67,3859.3,549.67,565.46,1925.54,Hovedstaden
176,1595000, Præstekærvej 20,2700 Brønshøj,41,1,12.49282199,55.70598471,84.91,6472.88,349.13,125.42,3553.08,Hovedstaden
177,1645000, Snerlevej 54,3000 Helsingør,70,2,12.58999783,56.02183057,191.15,1832.26,296.45,1250.29,2111.56,Hovedstaden
178,1675000, Mågevej 46,2400 København NV,54,2,12.52724677,55.70144962,288.44,3924.11,406.9,379.77,1823.24,Hovedstaden
