new_index,Pris,address,zipcode,m2,rooms,x,y,daycare_distance,train_distance,school_distance,supermarket_distance,hospital_distance
3009, 2.099.000kr. , Banegårdsgade 16,8000 Aarhus C,49,2,10.20082731,56.15032645,628.41,285.45,404.94,208.8,6096.26
3010, 2.150.000kr. , Skovvangsvej 63,3660 Stenløse,67,3,12.26491617,55.77876445,1751.26,15173.35,1866.41,1915.05,16604.77
3011, 2.150.000kr. , Rebæk Søpark 3,2650 Hvidovre,79,3,12.45725527,55.66349042,331.9,5114.45,853.33,295.34,3509.07
3012, 2.195.000kr. , Vandtårnsvej 5,3460 Birkerød,81,3,12.43913995,55.84580598,676.13,8683.19,839.82,276.5,14243.62
3013, 2.295.000kr. , Søvang Alle 27,2770 Kastrup,59,2,12.64603503,55.63859952,129.55,1915.73,622.47,561.11,3075.22
3014, 2.495.000kr. , Frankrigsgade 21,2300 København S,54,2,12.60813816,55.66203467,177.71,3496.45,319.54,210.27,1364.38
3015, 2.495.000kr. , Ny Munkegade 89,8000 Aarhus C,43,2,10.20087724,56.16409169,164.08,1981.25,239.35,254.66,4545.45
3016, 2.495.000kr. , Nattergalevej 34,2400 København NV,53,2,12.53036229,55.69878174,194.44,3544.49,75.03,566.81,2119.51
3017, 2.495.000kr. , Søndre Jernbanevej 3B,3400 Hillerød,73,3,12.30586321,55.928326,221.83,495.83,296.14,230.97,1929.45
3018, 2.545.000kr. , Kildevældsgade 73,2100 København Ø,54,2,12.57124654,55.71410117,144.12,2589.85,371.88,368.11,2558.71
3019, 2.595.000kr. , Holger Danskes Vej 30,2000 Frederiksberg,57,2,12.53720217,55.68711385,331.74,3000.88,797.22,228.3,1370.71
3020, 2.595.000kr. , Hollandsvej 11,2800 Kongens Lyngby,55,2,12.50612071,55.76475295,473.04,1190.57,831.05,575.79,4617.08
3021, 2.725.000kr. , Overskæringen 7,2200 København N,54,2,12.54416065,55.70129504,298.65,3055.23,487.16,216.83,1628.75
3022, 2.795.000kr. , Toldbodgade 6,5000 Odense C,117,5,10.36944372,55.40296453,499.9,1663.41,415.86,702.12,2440.73
3023, 2.795.000kr. , Toldbodgade 6,5000 Odense C,106,4,10.36944372,55.40296453,499.9,1663.41,415.86,702.12,2440.73
3024, 2.895.000kr. , Garnisonsvej 7,3520 Farum,93,3,12.33862036,55.82418352,408.97,11615.33,1669.66,352.94,15833.45
3025, 2.995.000kr. , Ryesgade 112B,2100 København Ø,47,2,12.57635482,55.69750064,179.54,1525.3,89.17,325.18,871.94
3026, 2.995.000kr. , Bybækvej 13F ,7120 Vejle Øst,98,3,9.58653158,55.70696165,1897.28,3600.45,1906.68,2630.03,4555.83
3027, 3.125.000kr. , Lucernevej 6,8200 Aarhus N,78,3,10.1992869,56.17432358,302.42,3098.18,305.45,393.11,3983.49
